I II V1 V2 V3 V4 V5 V6
-5 4 7 4 2 4 10 7
-1 6 6 4 1 3 10 7
2 7 7 5 2 2 9 8
-1 4 7 4 2 3 9 7
-3 4 7 3 2 2 9 6
-3 5 8 4 4 4 11 7
1 8 7 3 3 3 10 5
6 11 7 2 4 4 10 5
8 9 6 2 2 3 7 4
-1 5 7 4 3 4 7 4
-7 3 7 3 2 4 7 6
-9 0 6 3 1 4 8 5
-6 2 5 3 2 3 9 7
1 5 7 1 1 4 10 7
6 9 7 2 1 4 10 6
4 10 7 2 3 5 11 6
0 9 6 3 2 5 11 7
3 6 6 3 2 6 12 10
8 5 4 1 0 3 10 7
6 1 3 -1 -2 1 10 7
6 3 5 1 0 3 11 10
5 5 6 2 1 4 11 9
6 5 7 2 2 4 12 8
5 5 8 1 1 4 13 10
1 5 8 2 2 4 13 11
0 5 8 2 1 4 11 8
1 2 8 3 2 4 12 7
-1 2 6 0 0 3 10 7
5 3 4 -3 -3 -1 9 8
5 -1 1 -5 -6 -4 5 1
-2 1 6 -1 -2 0 9 6
0 6 10 3 3 5 14 10
1 11 7 2 0 2 12 8
2 11 4 -1 -2 -1 7 7
8 10 3 -4 -4 -3 5 4
7 6 5 -3 -3 -1 4 4
3 5 4 -3 -4 -1 5 4
4 5 3 -4 -3 -1 8 2
1 2 2 -5 -4 -3 7 2
4 3 4 -4 -4 -1 8 5
3 7 4 -5 -5 -2 8 6
0 8 4 -3 -4 -1 9 5
0 6 4 -2 -3 0 9 5
-2 0 6 -3 -2 2 11 8
-1 3 6 -3 -2 0 11 9
2 8 6 -5 -4 -1 9 7
3 7 5 -6 -5 -2 8 5
4 6 4 -7 -4 -3 7 5
6 3 0 -8 -7 -5 5 4
4 5 1 -9 -7 -5 4 0
8 5 0 -10 -8 -6 4 1
4 6 3 -7 -5 -3 6 3
-3 8 5 -4 -3 -1 7 5
0 6 3 -6 -5 -2 6 4
-1 1 2 -6 -4 -3 6 3
-2 2 2 -7 -4 -2 6 4
-2 2 3 -7 -5 -4 4 -1
0 3 4 -7 -5 -3 6 1
5 2 3 -7 -5 -5 5 5
3 4 3 -7 -5 -4 5 4
-4 1 4 -5 -3 -1 7 4
-5 0 4 -5 -3 -3 6 4
3 2 3 -6 -5 -4 6 4
6 3 4 -6 -4 -3 6 3
4 2 3 -7 -4 -4 4 1
4 1 4 -8 -5 -5 3 2
1 3 3 -7 -6 -6 4 5
-6 0 4 -5 -3 -3 5 1
-3 -1 2 -6 -5 -5 5 4
1 1 3 -8 -7 -6 7 5
4 5 5 -6 -5 -4 7 5
6 8 4 -5 -3 -4 6 2
8 7 0 -9 -7 -8 3 3
5 3 1 -9 -6 -8 3 2
4 1 0 -11 -7 -7 3 3
4 1 -1 -11 -7 -8 1 2
3 5 1 -9 -5 -5 3 3
0 3 0 -11 -6 -6 2 1
8 6 2 -9 -5 -5 2 1
11 7 2 -8 -4 -6 3 2
9 5 1 -9 -5 -6 3 2
7 5 1 -8 -4 -7 2 2
4 8 3 -8 -6 -7 3 2
2 9 3 -7 -4 -5 4 2
4 10 5 -5 -2 -4 7 4
8 16 5 -5 -2 -3 6 4
11 19 6 -4 0 -2 8 8
15 15 6 -5 -1 -3 7 6
13 16 5 -5 -2 -4 4 2
9 19 6 -4 -2 -4 5 4
6 15 11 0 0 -2 8 7
6 17 10 -1 -1 -2 6 4
10 17 9 -1 -1 -4 4 1
16 16 6 -4 -3 -7 1 -1
18 17 4 -6 -5 -9 0 -2
15 16 6 -5 -3 -6 1 -1
5 16 11 0 2 -1 7 6
0 22 16 4 7 4 13 11
6 24 14 3 6 4 13 10
8 22 12 2 6 3 11 10
10 23 10 1 4 1 11 10
8 22 9 0 3 1 11 11
5 19 10 2 6 2 12 11
10 20 10 1 7 4 13 13
9 21 9 1 7 4 13 13
11 26 7 0 5 3 14 13
10 26 6 1 6 3 12 14
11 22 5 -1 5 2 11 12
11 19 5 -1 4 0 10 8
13 16 3 -2 4 1 9 8
18 17 0 -6 0 -3 6 8
22 15 -1 -5 0 -4 6 4
17 14 0 -4 0 -2 6 6
16 14 -1 -6 -2 -4 5 5
18 14 -5 -11 -6 -7 2 3
16 8 -6 -11 -7 -8 2 5
12 7 -7 -13 -9 -10 1 3
8 6 -7 -15 -11 -12 -1 3
7 6 -7 -17 -13 -15 -1 2
11 6 -7 -17 -14 -15 -3 0
7 3 -5 -14 -11 -13 -4 -1
4 3 -4 -11 -9 -11 -1 3
2 3 -4 -13 -10 -12 -2 2
3 1 -4 -15 -12 -15 -4 -2
2 0 -7 -18 -13 -17 -6 -3
3 2 -8 -19 -14 -17 -7 -4
7 6 -6 -17 -12 -17 -6 -3
8 7 -5 -18 -12 -16 -5 -3
2 1 -7 -20 -15 -19 -8 -8
9 1 -8 -20 -15 -21 -10 -9
11 3 -8 -19 -15 -19 -9 -8
7 1 -6 -17 -12 -17 -6 -2
9 0 -7 -18 -14 -18 -8 -4
13 -2 -10 -22 -17 -22 -11 -7
7 -2 -9 -21 -17 -21 -10 -7
-2 -2 -8 -20 -17 -20 -10 -6
-3 -5 -8 -19 -16 -20 -10 -5
4 -3 -7 -21 -16 -21 -8 -4
5 3 -10 -21 -18 -22 -10 -8
1 -1 -10 -21 -18 -23 -10 -7
1 -4 -10 -21 -19 -23 -11 -6
1 -4 -10 -21 -18 -24 -12 -9
0 -3 -11 -23 -21 -25 -12 -9
1 -6 -10 -22 -19 -23 -12 -8
5 -6 -12 -23 -19 -25 -12 -8
10 -2 -12 -24 -18 -25 -13 -7
11 -3 -12 -24 -19 -25 -13 -9
11 -2 -13 -25 -20 -27 -17 -11
8 -2 -12 -23 -19 -26 -14 -9
-2 -1 -9 -21 -15 -23 -13 -8
4 -1 -10 -22 -17 -24 -14 -8
3 -5 -10 -22 -17 -23 -14 -9
-2 -11 -9 -21 -17 -24 -15 -9
-2 -9 -10 -22 -18 -23 -13 -8
-1 -9 -11 -22 -18 -23 -14 -9
4 -8 -10 -20 -17 -24 -13 -7
6 -3 -7 -16 -15 -21 -12 -8
2 -6 -6 -12 -13 -19 -13 -10
5 -4 -4 -5 -8 -16 -13 -14
10 -3 0 5 2 -11 -11 -10
11 -1 3 15 12 -3 -9 -13
15 1 5 21 20 4 -6 -10
14 0 9 25 28 12 0 -5
10 7 9 20 34 21 8 -1
5 12 11 9 39 31 17 9
9 21 10 -4 44 45 35 23
15 32 2 -31 42 56 49 35
16 37 -8 -69 32 62 63 50
14 44 -19 -114 13 65 77 64
11 54 -29 -152 -4 66 94 84
10 63 -44 -190 -21 64 109 102
8 67 -61 -233 -47 55 117 116
8 67 -80 -272 -78 43 118 123
2 70 -99 -296 -95 35 121 128
-3 74 -113 -306 -102 30 118 129
-12 62 -122 -311 -112 15 101 115
-11 46 -125 -304 -125 -18 61 86
-4 28 -120 -291 -140 -58 14 46
-12 6 -120 -283 -155 -94 -25 12
-25 -11 -118 -272 -162 -114 -47 -6
-22 -14 -120 -258 -161 -118 -55 -14
-16 -17 -122 -245 -155 -115 -56 -18
-7 -14 -116 -221 -143 -106 -52 -17
-5 -12 -100 -187 -119 -89 -46 -16
-9 -17 -82 -152 -98 -73 -39 -17
-7 -19 -69 -126 -83 -64 -38 -19
-6 -17 -55 -99 -68 -56 -33 -19
2 -8 -43 -75 -54 -48 -29 -17
8 -2 -32 -59 -43 -39 -24 -11
6 -1 -25 -48 -36 -34 -21 -10
7 -3 -22 -42 -31 -32 -21 -9
8 -2 -19 -38 -28 -29 -22 -11
4 1 -14 -33 -24 -27 -19 -12
-1 2 -9 -26 -20 -23 -16 -10
4 4 -9 -24 -20 -23 -17 -12
5 2 -10 -22 -20 -23 -19 -13
5 -2 -7 -18 -17 -22 -17 -12
3 -6 -7 -16 -17 -22 -17 -12
4 -4 -5 -14 -14 -20 -16 -10
6 1 -5 -14 -16 -20 -16 -10
7 0 -2 -12 -14 -18 -15 -8
5 -3 0 -10 -11 -14 -14 -7
3 0 -1 -10 -10 -14 -14 -7
3 3 0 -10 -12 -15 -15 -7
2 2 0 -9 -11 -15 -15 -9
-1 -2 2 -6 -9 -12 -13 -7
1 -1 0 -6 -10 -14 -14 -9
4 -4 0 -5 -11 -16 -15 -11
7 3 3 -5 -10 -15 -14 -11
9 4 0 -6 -11 -17 -17 -13
4 -1 -2 -7 -12 -19 -17 -12
-2 -5 2 -6 -9 -14 -15 -9
2 -3 1 -7 -8 -13 -15 -12
8 -1 0 -8 -10 -15 -14 -10
8 2 3 -4 -7 -13 -14 -9
6 0 2 -4 -8 -14 -13 -8
5 0 1 -4 -9 -15 -13 -7
2 0 2 -2 -8 -14 -13 -7
4 0 2 -3 -7 -14 -13 -9
8 0 0 -4 -9 -15 -16 -10
5 -2 2 -2 -7 -14 -13 -8
8 1 2 -3 -5 -12 -13 -8
10 1 2 -4 -5 -13 -13 -7
9 2 0 -5 -7 -15 -15 -10
7 2 3 -1 -5 -14 -14 -8
3 -3 4 0 -3 -12 -12 -7
2 -2 1 0 -5 -13 -12 -8
4 2 1 2 -5 -13 -13 -8
7 2 3 3 -2 -11 -12 -9
8 2 3 1 -3 -11 -11 -8
5 1 5 3 -3 -10 -11 -7
3 -1 5 1 -4 -11 -13 -7
7 1 4 0 -4 -11 -13 -8
7 2 4 2 -2 -9 -11 -7
9 0 3 3 -2 -9 -12 -8
12 3 3 3 -3 -10 -11 -7
11 4 3 4 -2 -8 -9 -5
10 1 1 4 -3 -9 -11 -9
14 1 3 5 -2 -8 -11 -9
16 1 3 6 -2 -8 -13 -8
15 1 2 4 -3 -8 -13 -10
14 2 1 3 -4 -10 -15 -14
11 2 0 3 -3 -9 -17 -17
2 -5 3 7 -1 -7 -12 -10
5 -3 3 8 -1 -7 -11 -10
11 3 2 8 -2 -8 -12 -10
12 1 2 10 0 -6 -10 -11
17 2 3 12 1 -5 -10 -9
21 4 4 12 2 -4 -11 -9
20 6 3 11 2 -3 -10 -10
15 6 3 12 3 -3 -8 -7
11 3 5 15 6 0 -7 -7
7 2 5 15 5 0 -7 -7
7 1 4 17 6 1 -5 -4
7 4 8 22 11 5 -1 -1
8 6 7 23 10 4 -3 -3
5 4 5 23 9 3 -5 -3
8 2 6 27 11 5 -3 -1
11 4 5 26 12 4 -6 -3
18 7 6 27 14 6 -4 -1
16 5 6 28 14 7 -4 -3
13 5 3 26 13 6 -6 -5
14 1 1 26 13 5 -7 -5
16 -1 1 28 14 7 -3 -2
20 6 4 34 18 11 1 1
23 9 3 36 19 11 -1 0
21 7 3 37 20 12 1 4
20 7 4 41 23 16 5 5
23 9 1 39 21 15 1 6
29 11 -2 34 17 12 -1 2
26 8 -1 35 20 15 2 3
25 7 0 37 22 18 6 9
29 11 1 38 23 20 8 12
32 13 1 39 23 22 10 13
33 11 -4 36 20 19 8 11
32 10 -7 34 18 20 9 12
28 13 -9 32 15 17 9 12
29 13 -8 31 15 18 11 13
30 13 -6 33 17 20 12 15
29 13 -8 31 16 19 12 15
28 11 -9 29 13 18 11 14
28 13 -8 26 12 17 10 15
30 15 -11 22 9 15 8 12
34 18 -11 21 7 14 9 14
39 21 -10 21 7 13 9 16
34 17 -12 19 5 13 10 16
33 14 -13 18 6 13 9 13
31 15 -15 16 3 10 7 13
32 18 -15 13 2 9 7 15
33 14 -14 11 0 8 6 13
32 13 -15 9 -3 5 4 9
32 13 -14 8 -3 5 3 9
29 11 -13 7 -3 6 5 11
25 8 -12 7 -3 6 7 11
21 10 -10 9 -2 7 7 12
19 9 -7 9 -3 6 6 10
