I II V1 V2 V3 V4 V5 V6
-2 10 0 1 -11 -4 -4 5
-3 8 -2 1 -13 -4 -5 5
-10 8 -2 1 -13 -4 -5 5
-11 13 0 3 -10 -2 -2 8
-4 21 -2 3 -9 1 0 10
-2 22 -6 1 -10 0 -2 9
-10 15 -8 -2 -12 -3 -3 7
-13 10 -9 -2 -12 -4 -4 5
-9 13 -9 -2 -11 -5 -4 6
-2 19 -9 1 -11 -3 -2 7
6 25 -8 2 -9 0 1 9
9 27 -7 3 -6 2 4 12
11 29 -9 2 -7 2 4 13
14 30 -10 2 -7 2 5 13
11 24 -12 0 -10 -2 2 10
2 16 -12 -2 -12 -4 0 8
0 16 -13 -3 -12 -5 -2 8
6 19 -13 -4 -12 -5 0 9
5 17 -14 -7 -14 -7 -3 7
-2 12 -14 -8 -14 -6 -2 7
0 15 -11 -4 -11 -3 2 8
1 14 -8 -2 -9 -2 2 8
-7 5 -6 -3 -11 -5 -2 4
-10 1 -6 -4 -12 -7 -5 1
-3 7 -2 1 -9 -5 -4 3
5 10 3 3 -7 -4 -3 4
4 5 2 0 -9 -8 -7 0
-4 -3 -2 -4 -12 -11 -10 -5
-10 -7 -2 -6 -13 -12 -11 -5
-16 -9 -3 -9 -15 -13 -11 -5
-16 -11 -5 -11 -18 -16 -13 -6
-12 -9 -5 -12 -18 -16 -14 -7
-10 -8 0 -9 -15 -14 -12 -6
-9 -5 0 -9 -14 -14 -12 -6
-8 -3 2 -8 -14 -14 -13 -6
-8 -4 4 -7 -13 -15 -14 -6
-7 -5 4 -8 -14 -16 -14 -7
-6 -5 4 -8 -13 -16 -14 -6
-8 -5 3 -10 -15 -16 -14 -7
-10 -8 3 -11 -15 -14 -13 -7
-10 -9 3 -11 -15 -15 -15 -7
-11 -9 3 -11 -15 -15 -15 -6
-10 -9 6 -9 -13 -14 -12 -4
-7 -7 8 -7 -12 -11 -11 -3
-7 -7 9 -6 -11 -12 -13 -5
-8 -7 10 -6 -11 -13 -14 -7
-7 -5 11 -6 -11 -12 -14 -8
-10 -8 9 -8 -12 -13 -14 -8
-17 -13 5 -11 -13 -15 -17 -9
-14 -13 7 -10 -12 -14 -15 -8
-7 -6 11 -7 -9 -10 -12 -4
-5 -4 10 -7 -8 -8 -11 -3
-9 -9 9 -9 -10 -11 -13 -5
-11 -11 8 -8 -12 -13 -16 -7
-11 -11 11 -4 -8 -13 -17 -8
-11 -10 17 6 0 -12 -17 -10
-12 -10 25 17 10 -7 -15 -9
-10 -10 30 27 22 2 -12 -9
-6 -10 34 37 36 14 -7 -8
0 -11 35 45 49 30 4 -4
4 -9 35 52 61 51 18 5
8 -5 37 66 79 76 35 14
14 2 38 84 104 108 58 26
28 11 32 92 126 144 87 44
51 25 15 81 137 180 116 64
74 42 -8 56 140 219 148 85
91 56 -31 26 138 258 182 106
96 63 -55 -8 127 297 215 126
102 67 -77 -47 107 330 244 143
116 73 -91 -73 96 361 270 158
128 77 -94 -80 97 384 284 163
126 68 -90 -80 99 390 280 157
118 45 -81 -80 94 376 258 140
107 16 -74 -82 78 340 218 112
85 -16 -68 -86 54 283 164 78
56 -38 -62 -94 23 218 114 48
38 -33 -60 -109 -16 147 73 29
25 -14 -63 -131 -61 74 38 19
7 -3 -68 -151 -105 3 3 6
-13 6 -69 -164 -137 -54 -28 -8
-24 17 -69 -169 -151 -88 -48 -15
-25 25 -66 -161 -149 -99 -54 -18
-23 24 -58 -143 -133 -91 -49 -17
-20 15 -52 -123 -114 -77 -44 -19
-20 5 -45 -102 -94 -67 -39 -19
-16 1 -34 -78 -71 -55 -32 -15
-11 2 -20 -57 -52 -43 -25 -11
-9 1 -9 -44 -39 -36 -22 -8
-10 0 -3 -33 -32 -34 -22 -8
-13 1 3 -26 -25 -31 -20 -7
-14 -3 7 -19 -19 -27 -19 -7
-13 -4 8 -17 -17 -27 -20 -8
-8 1 11 -14 -14 -25 -18 -8
-3 5 14 -12 -11 -23 -18 -8
-5 1 16 -9 -10 -22 -18 -9
-10 -6 17 -8 -10 -23 -19 -10
-11 -7 19 -6 -8 -22 -18 -9
-9 -6 21 -2 -6 -21 -18 -9
-6 -7 22 0 -5 -21 -19 -9
-7 -9 22 1 -4 -22 -18 -9
-9 -9 24 3 -2 -19 -17 -8
-7 -7 25 4 1 -18 -16 -7
-2 -4 25 4 1 -18 -16 -7
-2 -3 25 5 2 -17 -16 -6
-8 -7 24 5 1 -16 -17 -7
-13 -11 22 3 -2 -19 -19 -9
-11 -9 22 4 -3 -20 -20 -9
-10 -8 25 6 0 -19 -19 -8
-10 -8 25 6 -2 -19 -20 -9
-8 -3 26 8 2 -16 -17 -8
-2 3 27 9 4 -15 -15 -6
-2 -3 27 8 4 -16 -15 -7
-6 -9 23 4 0 -19 -18 -11
-10 -11 22 3 -2 -20 -19 -12
-11 -11 24 5 1 -18 -18 -10
-10 -12 24 6 0 -18 -18 -10
-4 -9 22 5 -3 -20 -19 -11
3 -4 25 8 0 -18 -17 -9
4 3 26 10 2 -16 -15 -7
2 2 26 10 3 -14 -13 -6
-2 -2 26 11 5 -13 -12 -5
-3 -2 28 11 6 -12 -12 -4
-7 -5 27 10 5 -14 -13 -5
-10 -8 25 8 3 -15 -13 -6
-9 -7 24 8 3 -16 -13 -7
-6 -7 24 8 3 -16 -13 -8
-5 -7 25 10 4 -16 -13 -7
-4 -3 26 12 5 -15 -13 -6
0 1 27 12 6 -15 -13 -5
0 -3 26 10 5 -17 -14 -7
0 -6 22 8 2 -18 -17 -9
-2 -4 23 8 2 -18 -17 -9
-4 0 25 9 3 -17 -16 -8
-3 -2 25 10 4 -16 -14 -7
1 1 25 11 5 -14 -13 -7
1 3 26 12 6 -13 -13 -7
-4 0 25 12 5 -14 -14 -7
